Plate,Row,ColPair,Column,Sample,WellGroup,WellGroupType,Time
1,A,1,1,129,A_1,Test sample,0
1,A,1,1,129,A_1,Test sample,20
1,A,1,1,129,A_1,Test sample,60
1,A,1,1,129,A_1,Test sample,120
1,A,1,1,129,A_1,Test sample,180
1,A,1,1,129,A_1,Test sample,240
1,A,1,1,129,A_1,Test sample,360
1,A,1,1,129,A_1,Test sample,1440
1,A,1,1,129,A_1,Test sample,1800
1,A,1,2,129,A_1,Test sample,0
1,A,1,2,129,A_1,Test sample,20
1,A,1,2,129,A_1,Test sample,60
1,A,1,2,129,A_1,Test sample,120
1,A,1,2,129,A_1,Test sample,180
1,A,1,2,129,A_1,Test sample,240
1,A,1,2,129,A_1,Test sample,360
1,A,1,2,129,A_1,Test sample,1440
1,A,1,2,129,A_1,Test sample,1800
1,A,2,3,59,A_2,Test sample,0
1,A,2,3,59,A_2,Test sample,20
1,A,2,3,59,A_2,Test sample,60
1,A,2,3,59,A_2,Test sample,120
1,A,2,3,59,A_2,Test sample,180
1,A,2,3,59,A_2,Test sample,240
1,A,2,3,59,A_2,Test sample,360
1,A,2,3,59,A_2,Test sample,1440
1,A,2,3,59,A_2,Test sample,1800
1,A,2,4,59,A_2,Test sample,0
1,A,2,4,59,A_2,Test sample,20
1,A,2,4,59,A_2,Test sample,60
1,A,2,4,59,A_2,Test sample,120
1,A,2,4,59,A_2,Test sample,180
1,A,2,4,59,A_2,Test sample,240
1,A,2,4,59,A_2,Test sample,360
1,A,2,4,59,A_2,Test sample,1440
1,A,2,4,59,A_2,Test sample,1800
1,A,3,5,199,A_3,Test sample,0
1,A,3,5,199,A_3,Test sample,20
1,A,3,5,199,A_3,Test sample,60
1,A,3,5,199,A_3,Test sample,120
1,A,3,5,199,A_3,Test sample,180
1,A,3,5,199,A_3,Test sample,240
1,A,3,5,199,A_3,Test sample,360
1,A,3,5,199,A_3,Test sample,1440
1,A,3,5,199,A_3,Test sample,1800
1,A,3,6,199,A_3,Test sample,0
1,A,3,6,199,A_3,Test sample,20
1,A,3,6,199,A_3,Test sample,60
1,A,3,6,199,A_3,Test sample,120
1,A,3,6,199,A_3,Test sample,180
1,A,3,6,199,A_3,Test sample,240
1,A,3,6,199,A_3,Test sample,360
1,A,3,6,199,A_3,Test sample,1440
1,A,3,6,199,A_3,Test sample,1800
1,A,4,7,69,A_4,Test sample,0
1,A,4,7,69,A_4,Test sample,20
1,A,4,7,69,A_4,Test sample,60
1,A,4,7,69,A_4,Test sample,120
1,A,4,7,69,A_4,Test sample,180
1,A,4,7,69,A_4,Test sample,240
1,A,4,7,69,A_4,Test sample,360
1,A,4,7,69,A_4,Test sample,1440
1,A,4,7,69,A_4,Test sample,1800
1,A,4,8,69,A_4,Test sample,0
1,A,4,8,69,A_4,Test sample,20
1,A,4,8,69,A_4,Test sample,60
1,A,4,8,69,A_4,Test sample,120
1,A,4,8,69,A_4,Test sample,180
1,A,4,8,69,A_4,Test sample,240
1,A,4,8,69,A_4,Test sample,360
1,A,4,8,69,A_4,Test sample,1440
