plate,raw,col,time,OD
5,A,1,0,0.091
5,A,1,20,0.158
5,A,1,60,0.329
5,A,1,120,0.528
5,A,1,180,0.688
5,A,1,240,0.813
5,A,1,360,1.039
5,A,1,1440,1.577
5,A,1,1800,1.674
5,A,2,0,0.089
5,A,2,20,0.099
5,A,2,60,0.087
5,A,2,120,0.084
5,A,2,180,0.084
5,A,2,240,0.091
5,A,2,360,0.09
5,A,2,1440,0.09
5,A,2,1800,0.09
5,A,3,0,0.092
5,A,3,20,0.139
5,A,3,60,0.301
5,A,3,120,0.509
5,A,3,180,0.732
5,A,3,240,0.904
5,A,3,360,1.14
5,A,3,1440,1.703
5,A,3,1800,1.847
5,A,4,0,0.088
5,A,4,20,0.084
5,A,4,60,0.087
5,A,4,120,0.083
5,A,4,180,0.085
5,A,4,240,0.087
5,A,4,360,0.088
5,A,4,1440,0.086
5,A,4,1800,0.088
5,A,5,0,0.091
5,A,5,20,0.165
5,A,5,60,0.325
5,A,5,120,0.511
5,A,5,180,0.718
5,A,5,240,0.855
5,A,5,360,1.036
5,A,5,1440,1.539
5,A,5,1800,1.703
5,A,6,0,0.09
5,A,6,20,0.085
5,A,6,60,0.085
5,A,6,120,0.082
5,A,6,180,0.084
5,A,6,240,0.086
5,A,6,360,0.087
5,A,6,1440,0.085
5,A,6,1800,0.087
5,A,7,0,0.095
5,A,7,20,0.16
5,A,7,60,0.309
5,A,7,120,0.498
5,A,7,180,0.696
5,A,7,240,0.863
5,A,7,360,1.034
5,A,7,1440,1.619
5,A,7,1800,1.736
5,A,8,0,0.092
5,A,8,20,0.086
5,A,8,60,0.086
5,A,8,120,0.083
5,A,8,180,0.085
5,A,8,240,0.088
5,A,8,360,0.084
5,A,8,1440,0.087
5,A,8,1800,0.089
5,A,9,0,0.092
5,A,9,20,0.138
5,A,9,60,0.284
5,A,9,120,0.467
5,A,9,180,0.65
5,A,9,240,0.814
5,A,9,360,1.025
5,A,9,1440,1.551
5,A,9,1800,1.634
5,A,10,0,0.093
5,A,10,20,0.085
5,A,10,60,0.083
5,A,10,120,0.081
5,A,10,180,0.084
5,A,10,240,0.086
5,A,10,360,0.084
5,A,10,1440,0.087
5,A,10,1800,0.092
5,A,11,0,0.09
5,A,11,20,0.136
5,A,11,60,0.285
5,A,11,120,0.434
5,A,11,180,0.644
5,A,11,240,0.767
5,A,11,360,0.958
5,A,11,1440,1.532
5,A,11,1800,1.636
5,A,12,0,0.086
5,A,12,20,0.078
5,A,12,60,0.078
5,A,12,120,0.078
5,A,12,180,0.081
5,A,12,240,0.083
5,A,12,360,0.08
5,A,12,1440,0.08
5,A,12,1800,0.079
5,B,1,0,0.092
5,B,1,20,0.185
5,B,1,60,0.42
5,B,1,120,0.714
5,B,1,180,1.075
5,B,1,240,1.378
5,B,1,360,1.766
5,B,1,1440,1.853
5,B,1,1800,1.877
5,B,2,0,0.086
5,B,2,20,0.086
5,B,2,60,0.087
5,B,2,120,0.083
5,B,2,180,0.086
5,B,2,240,0.089
5,B,2,360,0.089
5,B,2,1440,0.09
5,B,2,1800,0.09
5,B,3,0,0.09
5,B,3,20,0.126
5,B,3,60,0.269
5,B,3,120,0.423
5,B,3,180,0.587
5,B,3,240,0.763
5,B,3,360,0.951
5,B,3,1440,1.487
5,B,3,1800,1.57
5,B,4,0,0.087
5,B,4,20,0.084
5,B,4,60,0.086
5,B,4,120,0.083
5,B,4,180,0.082
5,B,4,240,0.086
5,B,4,360,0.084
5,B,4,1440,0.085
5,B,4,1800,0.087
5,B,5,0,0.091
5,B,5,20,0.217
5,B,5,60,0.384
5,B,5,120,0.561
5,B,5,180,0.764
5,B,5,240,0.891
5,B,5,360,1.018
5,B,5,1440,1.478
5,B,5,1800,1.585
5,B,6,0,0.088
5,B,6,20,0.085
5,B,6,60,0.125
5,B,6,120,0.082
5,B,6,180,0.084
5,B,6,240,0.088
5,B,6,360,0.087
5,B,6,1440,0.086
5,B,6,1800,0.087
5,B,7,0,0.094
5,B,7,20,0.151
5,B,7,60,0.3
5,B,7,120,0.516
5,B,7,180,0.709
5,B,7,240,0.851
5,B,7,360,0.98
5,B,7,1440,1.403
5,B,7,1800,1.523
5,B,8,0,0.091
5,B,8,20,0.086
5,B,8,60,0.086
5,B,8,120,0.081
5,B,8,180,0.087
5,B,8,240,0.088
5,B,8,360,0.086
5,B,8,1440,0.086
5,B,8,1800,0.087
5,B,9,0,0.094
5,B,9,20,0.153
5,B,9,60,0.293
5,B,9,120,0.449
5,B,9,180,0.6
5,B,9,240,0.772
5,B,9,360,0.99
5,B,9,1440,1.502
5,B,9,1800,1.517
5,B,10,0,0.088
5,B,10,20,0.084
5,B,10,60,0.1
5,B,10,120,0.08
5,B,10,180,0.083
5,B,10,240,0.086
5,B,10,360,0.082
5,B,10,1440,0.085
5,B,10,1800,0.079
5,B,11,0,0.088
5,B,11,20,0.142
5,B,11,60,0.293
5,B,11,120,0.448
5,B,11,180,0.65
5,B,11,240,0.787
5,B,11,360,0.962
5,B,11,1440,1.468
5,B,11,1800,1.552
5,B,12,0,0.084
5,B,12,20,0.078
5,B,12,60,0.077
5,B,12,120,0.078
5,B,12,180,0.083
5,B,12,240,0.082
5,B,12,360,0.081
5,B,12,1440,0.079
5,B,12,1800,0.077
5,C,1,0,0.092
5,C,1,20,0.153
5,C,1,60,0.315
5,C,1,120,0.485
5,C,1,180,0.614
5,C,1,240,0.74
5,C,1,360,0.945
5,C,1,1440,1.361
5,C,1,1800,1.447
5,C,2,0,0.087
5,C,2,20,0.085
5,C,2,60,0.088
5,C,2,120,0.083
5,C,2,180,0.084
5,C,2,240,0.087
5,C,2,360,0.087
5,C,2,1440,0.088
5,C,2,1800,0.087
5,C,3,0,0.094
5,C,3,20,0.134
5,C,3,60,0.301
5,C,3,120,0.501
5,C,3,180,0.646
5,C,3,240,0.776
5,C,3,360,0.862
5,C,3,1440,1.216
5,C,3,1800,1.271
5,C,4,0,0.092
5,C,4,20,0.086
5,C,4,60,0.088
5,C,4,120,0.087
5,C,4,180,0.084
5,C,4,240,0.088
5,C,4,360,0.089
5,C,4,1440,0.108
5,C,4,1800,0.12
5,C,5,0,0.091
5,C,5,20,0.153
5,C,5,60,0.367
5,C,5,120,0.533
5,C,5,180,0.693
5,C,5,240,0.837
5,C,5,360,1.001
5,C,5,1440,1.47
5,C,5,1800,1.54
5,C,6,0,0.093
5,C,6,20,0.087
5,C,6,60,0.086
5,C,6,120,0.084
5,C,6,180,0.084
5,C,6,240,0.088
5,C,6,360,0.088
5,C,6,1440,0.087
5,C,6,1800,0.088
5,C,7,0,0.096
5,C,7,20,0.163
5,C,7,60,0.309
5,C,7,120,0.526
5,C,7,180,0.698
5,C,7,240,0.917
5,C,7,360,1.064
5,C,7,1440,1.504
5,C,7,1800,1.583
5,C,8,0,0.091
5,C,8,20,0.087
5,C,8,60,0.086
5,C,8,120,0.084
5,C,8,180,0.084
5,C,8,240,0.087
5,C,8,360,0.084
5,C,8,1440,0.086
5,C,8,1800,0.084
5,C,9,0,0.104
5,C,9,20,0.163
5,C,9,60,0.32
5,C,9,120,0.478
5,C,9,180,0.667
5,C,9,240,0.821
5,C,9,360,1.026
5,C,9,1440,1.511
5,C,9,1800,1.56
5,C,10,0,0.091
5,C,10,20,0.087
5,C,10,60,0.081
5,C,10,120,0.082
5,C,10,180,0.084
5,C,10,240,0.085
5,C,10,360,0.085
5,C,10,1440,0.085
5,C,10,1800,0.084
5,C,11,0,0.09
5,C,11,20,0.155
5,C,11,60,0.307
5,C,11,120,0.462
5,C,11,180,0.689
5,C,11,240,0.833
5,C,11,360,1.051
5,C,11,1440,1.579
5,C,11,1800,1.553
5,C,12,0,0.087
5,C,12,20,0.078
5,C,12,60,0.079
5,C,12,120,0.078
5,C,12,180,0.081
5,C,12,240,0.082
5,C,12,360,0.084
5,C,12,1440,0.081
5,C,12,1800,0.079
5,D,1,0,0.094
5,D,1,20,0.151
5,D,1,60,0.293
5,D,1,120,0.488
5,D,1,180,0.647
5,D,1,240,0.798
5,D,1,360,1.042
5,D,1,1440,1.586
5,D,1,1800,1.648
5,D,2,0,0.089
5,D,2,20,0.086
5,D,2,60,0.087
5,D,2,120,0.083
5,D,2,180,0.084
5,D,2,240,0.088
5,D,2,360,0.089
5,D,2,1440,0.085
5,D,2,1800,0.088
5,D,3,0,0.096
5,D,3,20,0.165
5,D,3,60,0.33
5,D,3,120,0.523
5,D,3,180,0.675
5,D,3,240,0.828
5,D,3,360,1
5,D,3,1440,1.471
5,D,3,1800,1.516
5,D,4,0,0.093
5,D,4,20,0.083
5,D,4,60,0.087
5,D,4,120,0.084
5,D,4,180,0.083
5,D,4,240,0.088
5,D,4,360,0.085
5,D,4,1440,0.085
5,D,4,1800,0.084
5,D,5,0,0.096
5,D,5,20,0.146
5,D,5,60,0.301
5,D,5,120,0.485
5,D,5,180,0.656
5,D,5,240,0.794
5,D,5,360,0.982
5,D,5,1440,1.496
5,D,5,1800,1.595
5,D,6,0,0.092
5,D,6,20,0.086
5,D,6,60,0.085
5,D,6,120,0.082
5,D,6,180,0.083
5,D,6,240,0.086
5,D,6,360,0.083
5,D,6,1440,0.086
5,D,6,1800,0.086
5,D,7,0,0.095
5,D,7,20,0.143
5,D,7,60,0.301
5,D,7,120,0.53
5,D,7,180,0.675
5,D,7,240,0.885
5,D,7,360,1.07
5,D,7,1440,1.559
5,D,7,1800,1.58
5,D,8,0,0.093
5,D,8,20,0.088
5,D,8,60,0.086
5,D,8,120,0.082
5,D,8,180,0.083
5,D,8,240,0.086
5,D,8,360,0.083
5,D,8,1440,0.083
5,D,8,1800,0.085
5,D,9,0,0.094
5,D,9,20,0.174
5,D,9,60,0.346
5,D,9,120,0.555
5,D,9,180,0.749
5,D,9,240,0.926
5,D,9,360,1.104
5,D,9,1440,1.581
5,D,9,1800,1.647
5,D,10,0,0.092
5,D,10,20,0.085
5,D,10,60,0.081
5,D,10,120,0.081
5,D,10,180,0.082
5,D,10,240,0.088
5,D,10,360,0.085
5,D,10,1440,0.086
5,D,10,1800,0.08
5,D,11,0,0.088
5,D,11,20,0.179
5,D,11,60,0.366
5,D,11,120,0.52
5,D,11,180,0.769
5,D,11,240,0.928
5,D,11,360,1.14
5,D,11,1440,1.58
5,D,11,1800,1.631
5,D,12,0,0.09
5,D,12,20,0.079
5,D,12,60,0.078
5,D,12,120,0.078
5,D,12,180,0.081
5,D,12,240,0.082
5,D,12,360,0.079
5,D,12,1440,0.081
5,D,12,1800,0.077
5,E,1,0,0.095
5,E,1,20,0.158
5,E,1,60,0.312
5,E,1,120,0.497
5,E,1,180,0.659
5,E,1,240,0.812
5,E,1,360,1.038
5,E,1,1440,1.585
5,E,1,1800,1.671
5,E,2,0,0.087
5,E,2,20,0.084
5,E,2,60,0.087
5,E,2,120,0.082
5,E,2,180,0.082
5,E,2,240,0.086
5,E,2,360,0.086
5,E,2,1440,0.087
5,E,2,1800,0.088
5,E,3,0,0.095
5,E,3,20,0.151
5,E,3,60,0.324
5,E,3,120,0.522
5,E,3,180,0.683
5,E,3,240,0.838
5,E,3,360,1.053
5,E,3,1440,1.631
5,E,3,1800,1.644
5,E,4,0,0.09
5,E,4,20,0.084
5,E,4,60,0.086
5,E,4,120,0.082
5,E,4,180,0.081
5,E,4,240,0.086
5,E,4,360,0.088
5,E,4,1440,0.084
5,E,4,1800,0.081
5,E,5,0,0.093
5,E,5,20,0.123
5,E,5,60,0.26
5,E,5,120,0.43
5,E,5,180,0.627
5,E,5,240,0.769
5,E,5,360,0.979
5,E,5,1440,1.401
5,E,5,1800,1.571
5,E,6,0,0.092
5,E,6,20,0.082
5,E,6,60,0.082
5,E,6,120,0.082
5,E,6,180,0.083
5,E,6,240,0.088
5,E,6,360,0.082
5,E,6,1440,0.087
5,E,6,1800,0.085
5,E,7,0,0.092
5,E,7,20,0.142
5,E,7,60,0.29
5,E,7,120,0.492
5,E,7,180,0.694
5,E,7,240,0.918
5,E,7,360,1.109
5,E,7,1440,1.593
5,E,7,1800,1.608
5,E,8,0,0.091
5,E,8,20,0.084
5,E,8,60,0.085
5,E,8,120,0.081
5,E,8,180,0.084
5,E,8,240,0.086
5,E,8,360,0.085
5,E,8,1440,0.084
5,E,8,1800,0.086
5,E,9,0,0.098
5,E,9,20,0.145
5,E,9,60,0.295
5,E,9,120,0.458
5,E,9,180,0.63
5,E,9,240,0.808
5,E,9,360,1.012
5,E,9,1440,1.509
5,E,9,1800,1.569
5,E,10,0,0.092
5,E,10,20,0.083
5,E,10,60,0.082
5,E,10,120,0.081
5,E,10,180,0.082
5,E,10,240,0.087
5,E,10,360,0.083
5,E,10,1440,0.085
5,E,10,1800,0.087
5,E,11,0,0.092
5,E,11,20,0.155
5,E,11,60,0.31
5,E,11,120,0.489
5,E,11,180,0.667
5,E,11,240,0.813
5,E,11,360,1.017
5,E,11,1440,1.542
5,E,11,1800,1.565
5,E,12,0,0.088
5,E,12,20,0.081
5,E,12,60,0.08
5,E,12,120,0.079
5,E,12,180,0.083
5,E,12,240,0.085
5,E,12,360,0.083
5,E,12,1440,0.082
5,E,12,1800,0.081
5,F,1,0,0.096
5,F,1,20,0.152
5,F,1,60,0.3
5,F,1,120,0.481
5,F,1,180,0.625
5,F,1,240,0.791
5,F,1,360,1.014
5,F,1,1440,1.546
5,F,1,1800,1.609
5,F,2,0,0.088
5,F,2,20,0.086
5,F,2,60,0.087
5,F,2,120,0.083
5,F,2,180,0.082
5,F,2,240,0.088
5,F,2,360,0.086
5,F,2,1440,0.09
5,F,2,1800,0.094
5,F,3,0,0.093
5,F,3,20,0.169
5,F,3,60,0.36
5,F,3,120,0.548
5,F,3,180,0.71
5,F,3,240,0.875
5,F,3,360,1.068
5,F,3,1440,1.6
5,F,3,1800,1.621
5,F,4,0,0.089
5,F,4,20,0.081
5,F,4,60,0.085
5,F,4,120,0.082
5,F,4,180,0.082
5,F,4,240,0.084
5,F,4,360,0.086
5,F,4,1440,0.086
5,F,4,1800,0.08
5,F,5,0,0.092
5,F,5,20,0.239
5,F,5,60,0.445
5,F,5,120,0.647
5,F,5,180,0.822
5,F,5,240,1.01
5,F,5,360,1.135
5,F,5,1440,1.517
5,F,5,1800,1.587
5,F,6,0,0.088
5,F,6,20,0.082
5,F,6,60,0.082
5,F,6,120,0.077
5,F,6,180,0.081
5,F,6,240,0.084
5,F,6,360,0.088
5,F,6,1440,0.082
5,F,6,1800,0.084
5,F,7,0,0.091
5,F,7,20,0.15
5,F,7,60,0.318
5,F,7,120,0.54
5,F,7,180,0.707
5,F,7,240,0.9
5,F,7,360,1.107
5,F,7,1440,1.584
5,F,7,1800,1.497
5,F,8,0,0.093
5,F,8,20,0.084
5,F,8,60,0.082
5,F,8,120,0.079
5,F,8,180,0.082
5,F,8,240,0.084
5,F,8,360,0.085
5,F,8,1440,0.086
5,F,8,1800,0.084
5,F,9,0,0.09
5,F,9,20,0.226
5,F,9,60,0.444
5,F,9,120,0.68
5,F,9,180,0.859
5,F,9,240,1.048
5,F,9,360,1.23
5,F,9,1440,1.646
5,F,9,1800,1.617
5,F,10,0,0.09
5,F,10,20,0.081
5,F,10,60,0.081
5,F,10,120,0.08
5,F,10,180,0.083
5,F,10,240,0.083
5,F,10,360,0.085
5,F,10,1440,0.084
5,F,10,1800,0.08
5,F,11,0,0.086
5,F,11,20,0.129
5,F,11,60,0.277
5,F,11,120,0.44
5,F,11,180,0.626
5,F,11,240,0.751
5,F,11,360,0.98
5,F,11,1440,1.583
5,F,11,1800,1.587
5,F,12,0,0.086
5,F,12,20,0.078
5,F,12,60,0.08
5,F,12,120,0.097
5,F,12,180,0.083
5,F,12,240,0.084
5,F,12,360,0.081
5,F,12,1440,0.081
5,F,12,1800,0.08
5,G,1,0,0.095
5,G,1,20,0.138
5,G,1,60,0.285
5,G,1,120,0.463
5,G,1,180,0.59
5,G,1,240,0.759
5,G,1,360,0.97
5,G,1,1440,1.601
5,G,1,1800,1.663
5,G,2,0,0.09
5,G,2,20,0.081
5,G,2,60,0.086
5,G,2,120,0.081
5,G,2,180,0.081
5,G,2,240,0.088
5,G,2,360,0.089
5,G,2,1440,0.086
5,G,2,1800,0.088
5,G,3,0,0.09
5,G,3,20,0.128
5,G,3,60,0.264
5,G,3,120,0.441
5,G,3,180,0.594
5,G,3,240,0.763
5,G,3,360,0.984
5,G,3,1440,1.482
5,G,3,1800,1.554
5,G,4,0,0.086
5,G,4,20,0.085
5,G,4,60,0.082
5,G,4,120,0.085
5,G,4,180,0.081
5,G,4,240,0.084
5,G,4,360,0.086
5,G,4,1440,0.086
5,G,4,1800,0.082
5,G,5,0,0.095
5,G,5,20,0.135
5,G,5,60,0.28
5,G,5,120,0.456
5,G,5,180,0.615
5,G,5,240,0.789
5,G,5,360,1.013
5,G,5,1440,1.438
5,G,5,1800,1.668
5,G,6,0,0.089
5,G,6,20,0.079
5,G,6,60,0.078
5,G,6,120,0.081
5,G,6,180,0.08
5,G,6,240,0.082
5,G,6,360,0.082
5,G,6,1440,0.08
5,G,6,1800,0.081
5,G,7,0,0.092
5,G,7,20,0.195
5,G,7,60,0.4
5,G,7,120,0.583
5,G,7,180,0.724
5,G,7,240,0.918
5,G,7,360,1.052
5,G,7,1440,1.591
5,G,7,1800,1.58
5,G,8,0,0.087
5,G,8,20,0.078
5,G,8,60,0.123
5,G,8,120,0.078
5,G,8,180,0.077
5,G,8,240,0.084
5,G,8,360,0.081
5,G,8,1440,0.086
5,G,8,1800,0.089
5,G,9,0,0.095
5,G,9,20,0.173
5,G,9,60,0.338
5,G,9,120,0.528
5,G,9,180,0.666
5,G,9,240,0.886
5,G,9,360,1.062
5,G,9,1440,1.538
5,G,9,1800,1.49
5,G,10,0,0.089
5,G,10,20,0.079
5,G,10,60,0.082
5,G,10,120,0.078
5,G,10,180,0.094
5,G,10,240,0.088
5,G,10,360,0.085
5,G,10,1440,0.086
5,G,10,1800,0.082
5,G,11,0,0.092
5,G,11,20,0.132
5,G,11,60,0.275
5,G,11,120,0.41
5,G,11,180,0.553
5,G,11,240,0.695
5,G,11,360,0.89
5,G,11,1440,1.424
5,G,11,1800,1.519
5,G,12,0,0.085
5,G,12,20,0.075
5,G,12,60,0.078
5,G,12,120,0.077
5,G,12,180,0.08
5,G,12,240,0.083
5,G,12,360,0.08
5,G,12,1440,0.081
5,G,12,1800,0.08
5,H,1,0,0.095
5,H,1,20,0.143
5,H,1,60,0.291
5,H,1,120,0.489
5,H,1,180,0.629
5,H,1,240,0.809
5,H,1,360,1.059
5,H,1,1440,1.705
5,H,1,1800,1.759
5,H,2,0,0.093
5,H,2,20,0.083
5,H,2,60,0.085
5,H,2,120,0.082
5,H,2,180,0.077
5,H,2,240,0.084
5,H,2,360,0.086
5,H,2,1440,0.084
5,H,2,1800,0.087
5,H,3,0,0.096
5,H,3,20,0.176
5,H,3,60,0.358
5,H,3,120,0.573
5,H,3,180,0.73
5,H,3,240,0.86
5,H,3,360,1.046
5,H,3,1440,1.583
5,H,3,1800,1.559
5,H,4,0,0.09
5,H,4,20,0.078
5,H,4,60,0.085
5,H,4,120,0.08
5,H,4,180,0.081
5,H,4,240,0.082
5,H,4,360,0.085
5,H,4,1440,0.084
5,H,4,1800,0.082
5,H,5,0,0.094
5,H,5,20,0.138
5,H,5,60,0.316
5,H,5,120,0.511
5,H,5,180,0.69
5,H,5,240,0.851
5,H,5,360,1.127
5,H,5,1440,1.604
5,H,5,1800,1.699
5,H,6,0,0.088
5,H,6,20,0.076
5,H,6,60,0.081
5,H,6,120,0.08
5,H,6,180,0.083
5,H,6,240,0.083
5,H,6,360,0.081
5,H,6,1440,0.083
5,H,6,1800,0.083
5,H,7,0,0.118
5,H,7,20,0.152
5,H,7,60,0.339
5,H,7,120,0.536
5,H,7,180,0.687
5,H,7,240,0.846
5,H,7,360,1.03
5,H,7,1440,1.612
5,H,7,1800,1.611
5,H,8,0,0.09
5,H,8,20,0.076
5,H,8,60,0.083
5,H,8,120,0.079
5,H,8,180,0.078
5,H,8,240,0.084
5,H,8,360,0.08
5,H,8,1440,0.084
5,H,8,1800,0.081
5,H,9,0,0.094
5,H,9,20,0.16
5,H,9,60,0.329
5,H,9,120,0.511
5,H,9,180,0.693
5,H,9,240,0.89
5,H,9,360,1.09
5,H,9,1440,1.664
5,H,9,1800,1.553
5,H,10,0,0.121
5,H,10,20,0.077
5,H,10,60,0.079
5,H,10,120,0.077
5,H,10,180,0.079
5,H,10,240,0.083
5,H,10,360,0.08
5,H,10,1440,0.085
5,H,10,1800,0.079
5,H,11,0,0.098
5,H,11,20,0.162
5,H,11,60,0.331
5,H,11,120,0.464
5,H,11,180,0.672
5,H,11,240,0.78
5,H,11,360,1.021
5,H,11,1440,1.613
5,H,11,1800,1.621
5,H,12,0,0.086
5,H,12,20,0.089
5,H,12,60,0.08
5,H,12,120,0.079
5,H,12,180,0.082
5,H,12,240,0.084
5,H,12,360,0.082
5,H,12,1440,0.081
5,H,12,1800,0.08
